Time,CO2_emissions_kt.x,Population_growth_annual_percent.x,Forest_area_percent.x,Electricity_production.x,Renewable_electricity_output.x,Urban_population_growth.x,Total_greenhouse_gas_emissions,GDP_growth,Fossil_fuel_energy_consumption,Research_development_expenditure,Goods_services_exports,Population_density,Time.y,CO2_emissions_kt.y,Population_growth_annual_percent.y,Forest_area_percent.y,Electricity_production.y,Renewable_electricity_output.y,Urban_population_growth.y,Area planted,Area harvested,Yield per acre,Production,Price per bushel 1/,Value of production
2000,5775810,1.11277,33.13017,71.59345,8.206,1.51201,13.57591,4.07716,85.88083,2.62879,8.31116,30.7973,NA,NA,NA,NA,NA,NA,NA,536,517,20.8,10730,3.3,35569
2001,5748260,0.98974,33.18676,72.19883,6.78399,1.21338,11.16577,0.95434,86.34598,2.6483,-5.58207,31.10363,NA,NA,NA,NA,NA,NA,NA,585,578,19.8,11455,4.29,49004
2002,5593029.785,0.9278,33.24334,70.98738,8.64636,1.14842,13.78228,1.69594,86.24908,2.55926,-1.96188,31.39355,NA,NA,NA,NA,NA,NA,NA,784,703,16.9,11863,5.77,68564
2003,5658990.234,0.85948,33.29992,71.28935,8.88938,1.07836,13.93658,2.79621,86.27839,2.56455,2.10304,31.66454,NA,NA,NA,NA,NA,NA,NA,595,588,17.9,10516,5.88,61900
2004,5738290.039,0.92548,33.3565,71.3857,8.63019,1.14389,18.05999,3.85255,86.12431,2.50243,9.63718,31.95895,NA,NA,NA,NA,NA,NA,NA,523,511,20.3,10368,8.07,83767
2005,5753490.234,0.92171,33.41308,72.10486,8.57847,1.13589,17.05833,3.48322,86.01854,2.51697,6.9416,32.25488,NA,NA,NA,NA,NA,NA,NA,983,955,20.6,19695,5.94,117070
2006,5653080.078,0.96425,33.46967,71.32592,9.24463,1.17797,13.98273,2.78281,85.62647,2.55764,9.46544,32.5674,NA,NA,NA,NA,NA,NA,NA,813,767,14.4,11019,5.8,63961
2007,5736319.824,0.95106,33.52625,71.96689,8.36776,1.16307,16.18062,2.01051,85.61471,2.63161,8.75921,32.87861,NA,NA,NA,NA,NA,NA,NA,354,349,16.9,5896,13,76521
2008,5558379.883,0.94587,33.63606,71.39218,9.00354,1.15619,8.3587,0.12218999999999999,84.96822,2.76791,5.7817,33.24369,NA,NA,NA,NA,NA,NA,NA,354,340,16.8,5716,12.7,72773
2009,5156430.176,0.87665,33.69274,69.45036,10.29185,1.08529,7.6266,-2.59989,84.15425,2.8127,-8.29435,33.5364,NA,NA,NA,NA,NA,NA,NA,317,314,23.6,7423,8.15,60373
2010,5392109.863,0.82962,33.74941,70.27777,10.12036,1.03535,9.40754,2.70886,84.15059,2.7354,12.8828,33.81578,NA,NA,NA,NA,NA,NA,NA,421,418,21.7,9056,12.2,110251
2011,5173600.098,0.72679,33.77947,68.41786,12.22571,0.93951,7.09834,1.5499,83.71405,2.76525,7.16646,34.06244,NA,NA,NA,NA,NA,NA,NA,178,173,16.1,2791,13.9,38570
2012,4956060.059,0.7336,33.80953,68.86284,12.0074,0.94957,3.38566,2.28069,83.43718,2.68166,4.0135,34.31325,NA,NA,NA,NA,NA,NA,NA,349,336,17.3,5798,13.8,79919
2013,5092100.098,0.69286,33.8396,67.82465,12.63792,0.91451,6.261501875,1.84188,82.94051,2.71154,2.97141,34.55181,NA,NA,NA,NA,NA,NA,NA,181,172,19.5,3356,13.8,46325
2014,5107209.961,0.73336,33.86966,67.46195,12.95383,0.95943,6.261501875,2.28778,83.08904,2.72151,3.88365,34.80613,NA,NA,NA,NA,NA,NA,NA,311,302,21.1,6368,11.8,75077
2015,4990709.961,0.73622,33.89972,67.0787,13.22859,0.96668,6.261501875,2.70637,82.42783,2.78206,0.27109,35.06333,NA,NA,NA,NA,NA,NA,NA,463,456,22.1,10095,8.95,90561
2016,4894500,0.72468,33.89972,56.9140853125,8.25899625,0.95827,6.261501875,1.66747,69.2520175,2.84585,0.40526,35.31835,NA,NA,NA,NA,NA,NA,NA,374,366,23.7,8656,8,69352
2017,4819370.117,0.63264,33.86693,56.9140853125,8.25899625,0.87179,6.261501875,2.25568,69.2520175,2.89572,4.07791,35.5425,NA,NA,NA,NA,NA,NA,NA,303,272,14.1,3842,9.53,36340
2018,4975310.059,0.52644,33.86693,56.9140853125,8.25899625,0.76744,6.261501875,2.91886,69.2520175,3.00082,2.8111,35.7301,NA,NA,NA,NA,NA,NA,NA,208,198,22.6,4466,9.89,43533
2019,4817720.215,0.45538,33.86693,56.9140853125,8.25899625,0.70187,6.261501875,2.28887,69.2520175,3.16609,-0.06519,35.89318,NA,NA,NA,NA,NA,NA,NA,374,284,19.8,5625,9.15,49734
2020,4947433.7713750005,0.9612,33.86693,56.9140853125,8.25899625,1.2095,6.261501875,-3.40459,69.2520175,3.45018,-13.56282,36.23985,NA,NA,NA,NA,NA,NA,NA,305,296,19.3,5706,11.1,62357
2021,4947433.7713750005,0.11838,32.407061875000004,56.9140853125,8.25899625,0.37089,6.261501875,5.67111,69.2520175,2.122804375,4.1301315625,31.1114396875,NA,NA,NA,NA,NA,NA,NA,325,268,10.1,2708,27,72098
